Date,Ret,Vol,Sharp,NAV,MDD,MDD_N,MDD_T0,MDD_T1,LDD,LDD_N,LDD_T0,LDD_T1
20180131,-0.086212855972197,0.2426027045730667,-0.35536642562956894,0.913787144027803,-0.2563895810753082,18,20180102,20180126,-0.2563895810753082,18,20180102,20180126
20180228,0.3320076344684955,0.21757193035888622,1.5259672234412174,1.2457947784962986,-0.07676800428429509,1,20180223,20180226,-0.06141848959468832,1,20180208,20180209
20180330,-0.07195692529997502,0.30860407603013923,-0.2331690696559286,1.1738378531963234,-0.3037601459247774,9,20180301,20180314,-0.3037601459247774,9,20180301,20180314
20180427,0.23915731823961742,0.19771170862033524,1.209626480437079,1.4129951714359408,-0.1821402218372956,5,20180413,20180420,-0.1821402218372956,5,20180413,20180420
20180531,-0.11840028176425595,0.24631052159522707,-0.48069518507548104,1.2945948896716848,-0.1830945515116127,12,20180509,20180525,-0.1830945515116127,12,20180509,20180525
20180629,-0.11014173294846519,0.22951580030194355,-0.47988736637550133,1.1844531567232197,-0.25890930458742245,8,20180614,20180627,-0.25890930458742245,8,20180614,20180627
20180731,0.2640612953104718,0.25256619909107453,1.0455132011360402,1.4485144520336917,-0.12575777862544402,2,20180717,20180719,-0.12575777862544402,2,20180717,20180719
20180831,0.14189464284874273,0.25121422170090735,0.5648352306171615,1.590409094882434,-0.16757626464457998,9,20180809,20180822,-0.16757626464457998,9,20180809,20180822
20180928,-0.025288024113612327,0.22662974838539843,-0.11158298631920298,1.565121070768822,-0.19410119644050727,10,20180913,20180928,-0.16496202602131937,4,20180913,20180919
20181031,0.5073235982483203,0.2227416335833372,2.2776325650790774,2.072444669017142,-0.10760472461136827,3,20181019,20181024,-0.10760472461136827,3,20181019,20181024
20181130,-0.07125936031759972,0.272282882294661,-0.26171076094487555,2.001185308699543,-0.2249029919961716,15,20181109,20181130,-0.19934948209427983,12,20181109,20181127
20181228,-0.01203713668054325,0.28774487061510057,-0.04183267161222353,1.9891481720189994,-0.436739524253009,11,20181204,20181219,-0.436739524253009,11,20181204,20181219
20190131,-0.12323568252031794,0.25413821208806114,-0.4849159892476763,1.8659124894986814,-0.2912546677522181,13,20190111,20190130,-0.2912546677522181,13,20190111,20190130
20190228,-0.1055380774615415,0.2402589043436023,-0.43926812098754914,1.7603744120371398,-0.4077505409561708,7,20190214,20190225,-0.4077505409561708,7,20190214,20190225
20190329,0.35463812471170764,0.2848719311625862,1.2449037125714695,2.1150125367488473,-0.143165230081711,5,20190307,20190314,-0.143165230081711,5,20190307,20190314
20190430,-0.19239008925493392,0.2494223789838701,-0.7713425316473932,1.9226224474939135,-0.3044466757595199,14,20190410,20190430,-0.2168627153674798,13,20190410,20190429
20190531,0.13884089779649506,0.20061745464139605,0.6920678863395677,2.0614633452904085,-0.13022343286013172,4,20190527,20190531,-0.09394146285665617,8,20190506,20190516
20190628,-0.27720729297288127,0.2832540882275795,-0.9786523990084832,1.7842560523175275,-0.3724069455536154,9,20190617,20190628,-0.362604487529411,7,20190617,20190626
20190731,-0.04735033289714506,0.30616858837970695,-0.15465444429727615,1.736905719420382,-0.3412550562623744,6,20190704,20190712,-0.3412550562623744,6,20190704,20190712
20190830,0.17981076264508591,0.224440537566689,0.8011510068302967,1.9167164820654685,-0.19150417267313768,9,20190809,20190822,-0.19150417267313768,9,20190809,20190822
20190930,0.17220409780841042,0.24316506394443477,0.7081777909007541,2.0889205798738786,-0.1363734171924671,2,20190925,20190927,-0.07710024428687134,2,20190903,20190905
20191031,0.16934871045602512,0.2518100530347544,0.6725256137119033,2.258269290329904,-0.16709452875559716,9,20191018,20191031,-0.1190417301996729,8,20191018,20191030
20191129,0.022103275921241887,0.2636569281158871,0.08383347283605865,2.280372566251146,-0.22217643095186368,7,20191108,20191119,-0.22217643095186368,7,20191108,20191119
20191231,0.3796089564771498,0.2607258711852963,1.4559696540715135,2.6599815227282955,-0.14409616863095298,3,20191213,20191218,-0.14409616863095298,3,20191213,20191218
20200123,0.2772536265212395,0.20937405505185297,1.324202401546723,2.937235149249535,-0.09878102185299253,4,20200116,20200122,-0.09878102185299253,4,20200116,20200122
20200228,-0.22954502348320094,0.27045276297177673,-0.8487434957621611,2.707690125766334,-0.4124100862146802,14,20200206,20200226,-0.4124100862146802,14,20200206,20200226
20200331,0.15150716375423318,0.28920028858312863,0.5238831693305295,2.8591972895205675,-0.21400473760011218,5,20200323,20200330,-0.21400473760011218,5,20200323,20200330
20200430,-0.1370662743701065,0.19812037770443858,-0.6918332983121288,2.722131015150461,-0.18720877741758057,4,20200401,20200408,-0.18720877741758057,4,20200401,20200408
20200529,0.058148843954626696,0.212088558760713,0.27417246971927706,2.7802798591050877,-0.18437547545878274,3,20200520,20200525,-0.18437547545878274,3,20200520,20200525
20200630,-0.011520702189769935,0.21436699507975124,-0.053742891649359886,2.7687591569153174,-0.2431581824174165,11,20200605,20200622,-0.2431581824174165,11,20200605,20200622
20200731,-0.17003100701047555,0.2515423801353802,-0.6759537176954626,2.5987281499048427,-0.25288354333590135,20,20200702,20200730,-0.25288354333590135,20,20200702,20200730
20200831,-0.25638053713087683,0.26698997978910033,-0.9602627684132413,2.3423476127739655,-0.293818906368291,19,20200804,20200831,-0.2358625860773138,18,20200804,20200828
20200930,0.1733699887809311,0.29240582332296233,0.5929088101280524,2.515717601554897,-0.16284820289017832,2,20200918,20200922,-0.13813991896379152,7,20200904,20200915
20201030,-0.2857216438218101,0.2614950608437431,-1.0926464266663287,2.2299959577330863,-0.3744800569729154,5,20201022,20201029,-0.3744800569729154,5,20201022,20201029
20201130,-0.3816760765891988,0.26577227172750334,-1.4361019458814415,1.8483198811438877,-0.4695517328289287,13,20201103,20201120,-0.4695517328289287,13,20201103,20201120
20201231,0.3453934847727265,0.23114693542041312,1.4942594161783727,2.193713365916614,-0.12848634459689934,8,20201207,20201217,-0.12848634459689934,8,20201207,20201217
